iter,elapsed_time,obj,gradnorm,eval,grad,L
52,3.333624835999217,0.03357625638481195,0.00012728122206334558,0,61,0.0010686868269899003
53,3.3879084610089194,0.03356709729724094,0.00013396853227265874,0,62,0.0009618181442909103
54,3.442142419007723,0.03355692578273846,0.0001544530425733036,0,63,0.0008656363298618193
55,3.5563841270050034,0.03354756608317803,0.00011446375879668374,0,65,0.0015581453937512748
56,3.6089787100063404,0.033539458911309064,0.00011425011340051776,0,66,0.0014023308543761473
57,3.6646595440106466,0.03353008909297166,0.00011745865912309638,0,67,0.0012620977689385326
58,3.7197868350194767,0.03351899349829305,0.0001216572985441479,0,68,0.0011358879920446794
59,3.777004294024664,0.033505717890109324,0.0001266901337630991,0,69,0.0010222991928402114
60,3.8323620030278107,0.03348967571060687,0.00013265395349038714,0,70,0.0009200692735561903
61,3.8881010450277245,0.033470086706936616,0.00013970169698428943,0,71,0.0008280623462005713
62,3.9460756290354766,0.033445915435662665,0.00014808900940552574,0,72,0.0007452561115805142
63,4.00050054503663,0.03341579254426684,0.00015855728640082158,0,73,0.0006707305004224627
64,4.054276920040138,0.033377992806267624,0.00017428274231283072,0,74,0.0006036574503802165
65,4.109996878047241,0.03333125223440597,0.00021161071160164332,0,75,0.0005432917053421948
66,4.166586628038203,0.03328537902943354,0.00035369380678544816,0,76,0.0004889625348079754
67,4.3351228780375095,0.03324349181589659,0.00020519702766842756,0,79,0.0017602651253087113
68,4.3902371280419175,0.033219272952996676,0.00021066896192239377,0,80,0.0015842386127778402
69,4.445475170039572,0.03319084251209985,0.00021692283717087376,0,81,0.0014258147515000563
70,4.50050237904361,0.03315732388311226,0.0002236894317374918,0,82,0.0012832332763500506
71,4.554286295038764,0.033117700024972045,0.00023089482157127362,0,83,0.0011549099487150455
72,4.610729170031846,0.0330707854533211,0.00023836340943222365,0,84,0.001039418953843541
73,4.666971128026489,0.03301526175130039,0.00024576316414833416,0,85,0.0009354770584591868
74,4.721983169016312,0.03294977454804401,0.00025262500301401604,0,86,0.0008419293526132682
75,4.777788086023065,0.03287307440390264,0.0002584384113113995,0,87,0.0007577364173519414
76,4.832027961034328,0.032784170182752495,0.00026271551971702463,0,88,0.0006819627756167473
77,4.887619919041754,0.03268249336250542,0.0002649909580621636,0,89,0.0006137664980550726
78,4.943451127037406,0.032568085009078804,0.00026487928451499054,0,90,0.0005523898482495653
79,4.998340752033982,0.03244172275264984,0.0002621523429981297,0,91,0.0004971508634246089
80,5.0522616270318395,0.03230505404500785,0.0002574631309437556,0,92,0.00044743577708214797
81,5.109012877030182,0.032162183440938776,0.0002715948716445384,0,93,0.0004026921993739332
82,5.222611294026137,0.032100038650709824,0.0003944183691520069,0,95,0.0007248459588730797
83,5.386875711032189,0.03206440713642167,0.0002431874134528576,0,98,0.002609445451943087
84,5.441391086031217,0.03204196878359493,0.0002402198359915992,0,99,0.0023485009067487784
85,5.499053878025734,0.03201750189864527,0.0002382782765987017,0,100,0.0021136508160739006
86,5.555015503035975,0.03199076253713149,0.0002361223214649291,0,101,0.0019022857344665107
87,5.611783462023595,0.03196160597954091,0.00023367160798763175,0,102,0.0017120571610198597
88,5.667319087035139,0.0319299036510521,0.0002308831800009831,0,103,0.0015408514449178738
89,5.723442587041063,0.03189554522107468,0.00022771786186576571,0,104,0.0013867663004260863
90,5.778909337052028,0.03185844712735258,0.0002241392279853923,0,105,0.0012480896703834776
91,5.83404817005794,0.031818559123296765,0.00022011638239930178,0,106,0.00112328070334513
92,5.891273712055408,0.03177587749069123,0.0002156702459623249,0,107,0.0010109526330106169
