iter,elapsed_time,obj,gradnorm,eval,grad
1,0.2683660000000003,0.11413330528846387,0.009838377398182484,0,2
2,0.34993204199999983,0.041194767693773005,0.0039173581058503815,0,3
4,0.5211951250000002,0.034210140466270106,0.00045975171166759237,0,5
8,0.6725318749999989,0.033753396193074284,0.00018608987132557404,0,9
16,1.2177632910000007,0.03255231650906433,0.0005653169539196066,0,17
32,2.0486282080000002,0.027960859414976072,0.000440284237086128,0,33
64,4.019919290999999,0.023993012024621594,0.0002827130852675695,0,67
128,7.860184624999999,0.02039522286784767,0.00026989851590817173,0,135
256,16.207556167,0.018180715175533536,0.0004053736519299744,0,279
512,31.797374040999998,0.015989579753257235,0.0006029427313011475,0,553
1024,62.14935849999999,0.014211693459484226,0.00043754115514844564,0,1114
2048,123.07176833300002,0.012467895727300744,0.0006414673929452531,0,2212
4096,243.90527470800004,0.010836131697253996,0.0012717147886366939,0,4385
8192,482.94599800000003,0.009591045927536292,0.0004216251768856892,0,8686
14259,836.296829,0.008886617788804991,0.0002194755967299657,0,15001
