iter,elapsed_time,obj,gradnorm,eval,grad,L,H,iter_inner
0,0,2.3975866060503814,0.3775090269404096,0,1,0.001,0,0
1,0.040854875000000845,2.3975866060503814,0.3775090269404096,0,2,0.002,0,0
2,0.06028087499999657,2.3975866060503814,0.3775090269404096,0,3,0.004,0,0
3,0.07981408300000226,2.3975866060503814,0.3775090269404096,0,4,0.008,0,0
4,0.09957212399999804,2.3975866060503814,0.3775090269404096,0,5,0.016,0,0
5,0.11938849899999582,2.3975866060503814,0.3775090269404096,0,6,0.032,0,0
6,0.1387706659999992,2.3975866060503814,0.3775090269404096,0,7,0.064,0,0
7,0.15874666599999898,2.3975866060503814,0.3775090269404096,0,8,0.128,0,0
8,0.17838891599999585,2.3975866060503814,0.3775090269404096,0,9,0.256,0,0
9,0.19823374899999635,2.3975866060503814,0.3775090269404096,0,10,0.512,0,0
10,0.21837279099999307,2.309759342799412,0.12903258152943883,0,11,1.024,0,0
11,0.316795582999994,2.296431797815884,0.08603050908820921,0,13,1.024,0,1
12,0.36363649999999836,2.2866274059390372,0.06471478657403339,0,15,1.024,0.004480619638269693,2
13,0.4021696249999991,2.2877148994417738,0.06042785181450589,0,17,1.024,0.013252040678863887,3
14,0.44146849999999915,2.2799144703191905,0.05955737937536312,0,19,1.024,0.013252040678863887,4
15,0.46272804199999484,2.2525111433942735,0.1018145436569267,0,20,0.1024,0,0
16,0.48306920899999284,2.2525111433942735,0.1018145436569267,0,21,0.2048,0,0
17,0.5041575839999908,2.2378422235018545,0.13702572868173815,0,22,0.4096,0,0
18,0.5440275839999913,2.210711826096841,0.09106381888108236,0,24,0.4096,0,1
19,0.5831909589999924,2.1968975508913458,0.08701259838725806,0,26,0.4096,0.013336077851676707,2
20,0.6046068759999912,2.117616801335835,0.12267596006537278,0,27,0.04096,0,0
21,0.6244219599999923,2.09451801645758,0.7144021281822948,0,28,0.08192,0,0
22,0.6436817929999918,2.09451801645758,0.7144021281822948,0,29,0.16384,0,0
23,0.6631731269999932,2.09451801645758,0.7144021281822948,0,30,0.32768,0,0
24,0.6828762939999962,2.09451801645758,0.7144021281822948,0,31,0.65536,0,0
25,0.7027970859999968,1.887440793775952,0.3897236351423082,0,32,1.31072,0,0
26,0.7418540029999932,1.7998669134891876,0.23375531005337802,0,34,1.31072,0,1
27,0.7813540439999969,1.7535597805616334,0.21928202435248556,0,36,1.31072,0.007375508554471624,2
28,0.8219709609999981,1.7438915986517411,0.18452935773676202,0,38,1.31072,0.016235099573058413,3
29,0.8612020449999989,1.695680159617663,0.17191400550578914,0,40,1.31072,0.01868842292588141,4
30,0.8828650450000026,1.6610410047451978,0.4050592847851501,0,41,0.13107200000000002,0,0
31,0.9025342950000024,1.6610410047451978,0.4050592847851501,0,42,0.26214400000000004,0,0
32,0.9221232109999988,1.6610410047451978,0.4050592847851501,0,43,0.5242880000000001,0,0
33,0.941713668999995,1.5546276877360827,0.26829795818722313,0,44,1.0485760000000002,0,0
34,0.9807736280000015,1.514338060139425,0.1424635389438744,0,46,1.0485760000000002,0.0006206069788606619,1
35,1.0203230030000014,1.5053082250075998,0.1392754529575494,0,48,1.0485760000000002,0.001992270483962563,2
36,1.0593727530000052,1.4450535159662519,0.1486855499007719,0,50,1.0485760000000002,0.005362638680201277,3
37,1.0999079620000032,1.3701754260493257,0.1369163196215872,0,52,1.0485760000000002,0.005362638680201277,4
38,1.138702796000004,1.322715048595093,0.1327453487493264,0,54,1.0485760000000002,0.005362638680201277,5
39,1.178429046000005,1.2143719331722698,0.13394677366636998,0,56,1.0485760000000002,0.005362638680201277,6
40,1.2174722550000041,1.1352556746980624,0.1270516069437544,0,58,1.0485760000000002,0.005362638680201277,7
41,1.256974838000005,1.0709335124631603,0.12555588432984266,0,60,1.0485760000000002,0.005362638680201277,8
42,1.2779546710000034,0.9656522442855302,0.1247891795217471,0,61,0.10485760000000002,0,0
43,1.298245379000008,0.9656522442855302,0.1247891795217471,0,62,0.20971520000000005,0,0
44,1.3186134200000055,0.9636824456854036,0.29492786488790057,0,63,0.4194304000000001,0,0
45,1.3389408780000025,0.9636824456854036,0.29492786488790057,0,64,0.8388608000000002,0,0
46,1.3595266280000047,0.9227395497899812,0.14795732399189065,0,65,1.6777216000000004,0,0
47,1.3988641280000067,0.912791282943423,0.09140213460526526,0,67,1.6777216000000004,0.0013063339971416197,1
48,1.4400357530000036,0.9062104300531392,0.08793385655431404,0,69,1.6777216000000004,0.0013063339971416197,2
49,1.4831827950000047,0.8994842154108852,0.08263326001382917,0,71,1.6777216000000004,0.0013063339971416197,3
50,1.5258970030000043,0.8818519494556785,0.08505098289157624,0,73,1.6777216000000004,0.0013063339971416197,4
51,1.5675375450000075,0.8607954691497935,0.08242350727318395,0,75,1.6777216000000004,0.0013063339971416197,5
52,1.60897437900001,0.8439528756038941,0.07896140439967642,0,77,1.6777216000000004,0.0013063339971416197,6
53,1.650041671000011,0.8220912327732116,0.07864344342694196,0,79,1.6777216000000004,0.0013063339971416197,7
54,1.6918381710000077,0.7929539657413083,0.07793227570520703,0,81,1.6777216000000004,0.0013063339971416197,8
55,1.7329433790000053,0.7689101487078605,0.07524740828230117,0,83,1.6777216000000004,0.0013063339971416197,9
56,1.7756074210000037,0.748257926182159,0.07334541557159505,0,85,1.6777216000000004,0.0013063339971416197,10
57,1.8172692960000063,0.7189309607830277,0.07257545136571011,0,87,1.6777216000000004,0.0013063339971416197,11
58,1.8606881710000067,0.6882859051388163,0.06666477326579949,0,89,1.6777216000000004,0.0013063339971416197,12
