iter,elapsed_time,obj,gradnorm,eval,grad
1,1.078109082998708,568920991.2969586,2304474.8454381223,0,5
2,1.2029295420070412,176648123.09166324,881820.6575506851,0,6
4,1.196147667011246,51383911.10796837,415832.1630393909,0,9
8,1.3030717499932507,13956013.61600239,114562.46197966192,0,14
16,1.762857333989814,5391122.133118625,24938.75799399413,0,24
32,2.764605375006795,3345670.116879505,10931.096853060979,0,42
64,4.588467166991904,2384642.0335457306,6473.02099875057,0,74
128,8.033957999999984,1660781.149130016,3154.2339496791433,0,141
256,15.132395916007226,852523.1298953705,1964.141630366129,0,272
512,29.73000699999102,215691.6163903528,1247.824381859203,0,530
