iter,elapsed_time,obj,gradnorm,eval,grad,L,H,iter_inner
107,2.0019017049635295,5289061.459235509,16899.77586224789,0,186,26843.5456,6.067642969414174,34
108,2.0218618709623115,5226898.026258595,16850.527828284638,0,188,26843.5456,6.067642969414174,35
109,2.0427293709653895,5168424.013967652,16798.01520929114,0,190,26843.5456,6.067642969414174,36
110,2.0636344959639246,5113107.8770349715,16739.698660662638,0,192,26843.5456,6.067642969414174,37
111,2.0837988299608696,5060505.420671748,16675.165260315876,0,194,26843.5456,6.067642969414174,38
112,2.097845995958778,5060505.420671748,16675.165260315876,0,195,2684.35456,0,0
113,2.117787953960942,4964379.837252748,14518.947000956192,0,197,2684.35456,0,1
114,2.1383147039596224,4818677.893316622,12306.209277104086,0,199,2684.35456,0.5212136070783859,2
115,2.1582359949679812,4666129.520429116,12356.062266515468,0,201,2684.35456,1.3779588968814391,3
116,2.177901952964021,4509969.935158203,11877.772462038622,0,203,2684.35456,2.1030449990455473,4
117,2.2008629109623143,4335793.780703182,11255.042579831084,0,205,2684.35456,2.5453111757426057,5
118,2.2208128689671867,4155385.239795731,10719.72501222612,0,207,2684.35456,3.323138378985984,6
119,2.2416318689647596,4007431.633313886,10187.353432982494,0,209,2684.35456,5.193955578652316,7
120,2.2629557859618217,3915675.8854039405,9704.646859668022,0,211,2684.35456,8.22518833451165,8
121,2.2765274939592928,3873424.3055463294,15932.007101198637,0,212,268.43545600000004,0,0
122,2.287241993966745,3873424.3055463294,15932.007101198637,0,213,536.8709120000001,0,0
123,2.2985662849678192,3684261.85988657,17788.472515220194,0,214,1073.7418240000002,0,0
124,2.308783284970559,3560156.741809914,10669.69562460805,0,215,2147.4836480000004,0,0
125,2.32966711797053,3518183.798267358,7420.6960711625625,0,217,2147.4836480000004,1.6707668224243644,1
126,2.350547742971685,3478713.9761602837,7263.620126467781,0,219,2147.4836480000004,1.6707668224243644,2
127,2.369579284975771,3426472.741402493,7014.22903260545,0,221,2147.4836480000004,1.6707668224243644,3
128,2.390258534971508,3339282.474765087,6913.315860589629,0,223,2147.4836480000004,1.7289969823841018,4
129,2.4105094929691404,3258638.967122604,6244.079009913036,0,225,2147.4836480000004,3.5147971942018046,5
130,2.430284784961259,3204179.0881903297,6155.187710198988,0,227,2147.4836480000004,5.68688463050731,6
131,2.4503889099578373,3149174.759894917,5990.701657729201,0,229,2147.4836480000004,8.91244914818658,7
132,2.464848950956366,3107950.7158129243,7749.695176142703,0,230,214.74836480000005,0,0
133,2.476207325962605,3047627.8961918666,16532.595307707237,0,231,429.4967296000001,0,0
134,2.4873947839514585,3047627.8961918666,16532.595307707237,0,232,858.9934592000002,0,0
135,2.4984434089419665,2983872.881046466,12564.260880526637,0,233,1717.9869184000004,0,0
136,2.5197708679479547,2928668.1259676125,4469.303704830001,0,235,1717.9869184000004,0,1
137,2.54165753495181,2924869.8141527576,4309.996784161034,0,237,1717.9869184000004,0.7934824415301082,2
138,2.561805367950001,2914817.7595504555,4789.895285468162,0,239,1717.9869184000004,2.9599190768241344,3
139,2.5806447839568136,2853572.9285946013,4804.61391960007,0,241,1717.9869184000004,2.9599190768241344,4
140,2.6007623259501997,2836046.2276530056,4051.1467733592613,0,243,1717.9869184000004,3.2271755877936252,5
141,2.620607617951464,2829006.3965396895,4038.3566857762066,0,245,1717.9869184000004,7.113486910119833,6
142,2.6411862429522444,2768247.3841767875,4107.624736583847,0,247,1717.9869184000004,10.560008051505918,7
143,2.6552652849495644,2758580.070632747,9891.593438534292,0,248,171.79869184000006,0,0
144,2.666296576950117,2758580.070632747,9891.593438534292,0,249,343.5973836800001,0,0
145,2.6773506609606557,2758580.070632747,9891.593438534292,0,250,687.1947673600002,0,0
146,2.6882374519627774,2741591.7239027387,12414.917883450407,0,251,1374.3895347200005,0,0
147,2.699793993961066,2692669.346824217,4690.406616226528,0,252,2748.779069440001,0,0
148,2.7196017439709976,2685762.1785596353,3685.022285872919,0,254,2748.779069440001,0,1
149,2.7399942859774455,2677174.785566998,3595.948684589325,0,256,2748.779069440001,0.1028458698497817,2
150,2.760288577977917,2667103.806143649,3399.5699977760846,0,258,2748.779069440001,0.33872899931696376,3
151,2.7803851619828492,2651886.4780946383,3360.1308887444825,0,260,2748.779069440001,0.7391722402634431,4
152,2.799296161989332,2633718.8720863475,2988.406390366282,0,262,2748.779069440001,1.5270534807199379,5
153,2.8197878709906945,2617856.7175142476,3122.6428574321367,0,264,2748.779069440001,2.974400008668863,6
154,2.839066661996185,2603333.1094664577,3040.1816081347097,0,266,2748.779069440001,5.195819136642029,7
155,2.858863953995751,2587285.6852002856,3006.8050610113464,0,268,2748.779069440001,7.984952003058058,8
156,2.8793925790087087,2573520.919185749,2961.760919401402,0,270,2748.779069440001,11.077933502693151,9
157,2.8939174130064202,2566372.1795450607,4985.071694438442,0,271,274.87790694400013,0,0
158,2.9046396630001254,2565325.462565647,13013.81520186284,0,272,549.7558138880003,0,0
159,2.91483520399197,2565325.462565647,13013.81520186284,0,273,1099.5116277760005,0,0
160,2.92560745398805,2529648.1948613483,8224.55669574771,0,274,2199.023255552001,0,0
161,2.9457366629940225,2509973.4237217465,3064.770251108789,0,276,2199.023255552001,0.6019355405830829,1
162,2.9652862880029716,2508597.9792512245,2877.9343037978315,0,278,2199.023255552001,0.6019355405830829,2
163,2.9857544970000163,2505026.544983741,2942.7113769678285,0,280,2199.023255552001,1.0077833946347852,3
164,3.004825287993299,2487590.6139299795,3235.2476393368975,0,282,2199.023255552001,1.948381376987884,4
165,3.0250359130004654,2472318.2636024575,2771.2613839080796,0,284,2199.023255552001,2.89614690837591,5
166,3.044378788006725,2475126.6625496154,2563.9081452112687,0,286,2199.023255552001,5.360240538476667,6
167,3.0633330380078405,2454518.377445345,2749.645011501809,0,288,2199.023255552001,8.64531806526883,7
168,3.0834501210192684,2431745.093702747,2656.431838240474,0,290,2199.023255552001,10.731221786385937,8
169,3.0972480790223926,2431745.093702747,3127.61373874393,0,291,219.90232555520012,0,0
170,3.1086239120340906,2412717.8662690925,5799.007703049003,0,292,439.80465111040024,0,0
171,3.118963621047442,2412717.8662690925,5799.007703049003,0,293,879.6093022208005,0,0
172,3.1298820790543687,2405310.1222117525,5602.620536354799,0,294,1759.218604441601,0,0
173,3.148835829066229,2394949.639500197,2263.576466772017,0,296,1759.218604441601,0.041236180224703343,1
174,3.169343663059408,2393981.236251946,2253.1947268202643,0,298,1759.218604441601,0.13318714611765883,2
175,3.1904617880645674,2388349.739362213,2568.9809004546173,0,300,1759.218604441601,1.3868444104486242,3
176,3.210657746065408,2370801.987042012,2237.3179333085986,0,302,1759.218604441601,2.557792716508642,4
177,3.2314339550648583,2366534.597894092,2199.9876134694855,0,304,1759.218604441601,4.709009909949719,5
178,3.252635455064592,2354723.55166727,2302.2709945150214,0,306,1759.218604441601,8.317513711308786,6
179,3.2728617050743196,2337705.0558534395,2258.5017230234043,0,308,1759.218604441601,11.120545730917867,7
180,3.2866543720738264,2337574.9222861812,6144.737799063257,0,309,175.9218604441601,0,0
181,3.2972564140800387,2337574.9222861812,6144.737799063257,0,310,351.8437208883202,0,0
182,3.3076728720916435,2337574.9222861812,6144.737799063257,0,311,703.6874417766404,0,0
183,3.3187938300834503,2334350.552804396,8177.733919356567,0,312,1407.3748835532808,0,0
184,3.329192372082616,2314467.726083681,3047.3989430062147,0,313,2814.7497671065616,0,0
185,3.3490876640862552,2311668.4371061446,2321.380982079761,0,315,2814.7497671065616,0,1
186,3.368900039087748,2308420.588828008,2262.8138788252836,0,317,2814.7497671065616,0.14946332780695534,2
187,3.389032998093171,2304647.840108101,2145.8598297171984,0,319,2814.7497671065616,0.5421506980047743,3
188,3.4086364980903454,2298417.3400991606,2154.3258265525756,0,321,2814.7497671065616,1.2238371334123415,4
189,3.4280316230870085,2290586.417548329,2008.4735381709936,0,323,2814.7497671065616,2.3067045659241696,5
190,3.4482099140877835,2283602.0550906425,2046.871073359246,0,325,2814.7497671065616,4.041332171817348,6
191,3.4709931640827563,2277062.861830361,2012.1981600728507,0,327,2814.7497671065616,6.556341265231752,7
192,3.4950554140814347,2269586.834020542,2008.9184256300853,0,329,2814.7497671065616,9.567035125169504,8
193,3.510486080078408,2262933.0573584205,2476.5155385863277,0,330,281.47497671065616,0,0
194,3.5326816210726975,2247852.7962190923,2027.9103676628363,0,332,281.47497671065616,10.156760282570154,1
195,3.5534477050678106,2235237.4075269196,2141.1811572448687,0,334,281.47497671065616,10.156760282570154,2
196,3.5649357890652027,2235237.4075269196,4722.870926088097,0,335,562.9499534213123,0,0
197,3.574715498063597,2235237.4075269196,4722.870926088097,0,336,1125.8999068426247,0,0
198,3.5855768730689306,2227422.398939703,3023.1552702680547,0,337,2251.7998136852493,0,0
199,3.60585674806498,2224248.3997287084,2051.4638596802088,0,339,2251.7998136852493,0,1
200,3.6270388310658745,2221459.882947487,2012.0524250115968,0,341,2251.7998136852493,0.20132662315428368,2
201,3.6485929150658194,2217621.3641216913,1968.0633377165857,0,343,2251.7998136852493,1.0728971281335207,3
202,3.6697180820629,2210549.178308952,1978.0827909726802,0,345,2251.7998136852493,2.5138138832601866,4
203,3.690251832071226,2203582.341267064,1893.822072971025,0,347,2251.7998136852493,4.325863801576232,5
204,3.7108238320652163,2198199.2772805505,1835.1114140652605,0,349,2251.7998136852493,6.944681718147144,6
205,3.7317979570652824,2191563.06940763,1836.4683051928757,0,351,2251.7998136852493,10.185667029329716,7
206,3.744644124060869,2184989.975925642,2424.878099002877,0,352,225.17998136852495,0,0
207,3.7557492490595905,2172717.8716300037,3455.5981166693596,0,353,450.3599627370499,0,0
208,3.766770582064055,2172717.8716300037,3455.5981166693596,0,354,900.7199254740998,0,0
209,3.777745957064326,2167691.549858857,2836.731749480484,0,355,1801.4398509481996,0,0
210,3.797807499067858,2164521.448235397,1716.0081295829723,0,357,1801.4398509481996,0,1
211,3.8196972910809563,2162579.659607264,1703.4873333097105,0,359,1801.4398509481996,0.3912823448803828,2
212,3.8420041660720017,2158535.387043152,1750.353348412827,0,361,1801.4398509481996,1.6094438126691974,3
213,3.8621210830751806,2151246.6507453467,1740.1219396810332,0,363,1801.4398509481996,3.1879736587837035,4
214,3.8826228330726735,2145675.4080358297,1660.1045780236836,0,365,1801.4398509481996,5.53678609652174,5
215,3.902073250079411,2140079.4260819876,1665.3018533943734,0,367,1801.4398509481996,9.070856284099307,6
216,3.916201208077837,2132858.371187659,2263.2003480966873,0,368,180.14398509481998,0,0
217,3.926908625071519,2132858.371187659,2263.2003480966873,0,369,360.28797018963996,0,0
218,3.9373776250577066,2127294.4550027577,3739.200275750908,0,370,720.5759403792799,0,0
219,3.9473132080602227,2125533.1650066804,4446.832494665434,0,371,1441.1518807585599,0,0
220,3.9666370000632014,2118580.245138913,1679.0527782450772,0,373,1441.1518807585599,0,1
221,3.985644792075618,2117942.6842553075,1617.8725019118767,0,375,1441.1518807585599,0.2709464459273285,2
222,4.006413333074306,2113758.906838445,1935.3743321487016,0,377,1441.1518807585599,1.627810941430918,3
223,4.027117708072183,2104438.373697677,1689.306142023074,0,379,1441.1518807585599,2.8485626800011556,4
224,4.046800625073956,2103747.630483777,1619.8880335392687,0,381,1441.1518807585599,6.188283453397211,5
225,4.067843750061002,2092674.0390776,1706.950935108904,0,383,1441.1518807585599,10.452529387893419,6
226,4.082494041052996,2087913.9664884964,3620.442318955522,0,384,144.115188075856,0,0
227,4.093179833056638,2087913.9664884964,3620.442318955522,0,385,288.230376151712,0,0
228,4.103273458065814,2087913.9664884964,3620.442318955522,0,386,576.460752303424,0,0
229,4.114656874065986,2085637.2578270123,5322.54484532165,0,387,1152.921504606848,0,0
230,4.125166916070157,2077090.5838053802,2754.5447466064907,0,388,2305.843009213696,0,0
231,4.14595087406633,2074593.2255943802,1705.086279358795,0,390,2305.843009213696,0,1
232,4.1668171240598895,2072932.77354253,1653.2284720782516,0,392,2305.843009213696,0.23708247996039072,2
233,4.187006374064367,2070967.0743999765,1594.6708931242204,0,394,2305.843009213696,1.0436994525865468,3
234,4.2069624160649255,2065995.9213533048,1653.9629252857326,0,396,2305.843009213696,2.304154985061762,4
235,4.226646624068962,2060522.7932288768,1516.3468254949762,0,398,2305.843009213696,3.961573096299481,5
236,4.246440665068803,2056900.655203068,1535.9048279186666,0,400,2305.843009213696,6.6292851500059395,6
237,4.266185206070077,2052636.4203770584,1542.9155067997744,0,402,2305.843009213696,10.19723976711332,7
238,4.280300831072964,2047356.4597965593,2157.0298126622606,0,403,230.58430092136962,0,0
