iter,elapsed_time,obj,gradnorm,eval,grad,L
0,0,1.1437010813676614,0.048034965224626074,0,1,0.001
1,0.05533004099561367,0.7830809263846347,0.04248505964287872,0,4,0.0036000000000000003
2,0.098054415997467,0.7045134735328284,0.04006040938048991,0,7,0.012960000000000001
3,0.13719849899644032,0.6821971909162333,0.026874946539195005,0,10,0.046656
4,0.1492847490007989,0.6677671329289357,0.025353543734479633,0,11,0.041990400000000004
5,0.1617602910118876,0.6529435100344227,0.024611711080870815,0,12,0.03779136
6,0.17706504101806786,0.6373402033315957,0.02397779794550696,0,13,0.034012224
7,0.19104749901453033,0.6209326648106569,0.023428069629103623,0,14,0.0306110016
8,0.20425108302151784,0.603759239764667,0.023112776604770523,0,15,0.02754990144
9,0.21759754103550222,0.5860867280322737,0.023842248961297302,0,16,0.024794911296
10,0.2305532080354169,0.5693902498946954,0.02968786195141357,0,17,0.0223154201664
11,0.2572188330377685,0.5584017563125443,0.02628998308725841,0,19,0.040167756299520005
12,0.2708463330345694,0.5477590354473475,0.02584185805861047,0,20,0.036150980669568004
13,0.28472787504142616,0.5372400101868652,0.027901923621635166,0,21,0.032535882602611206
14,0.3120317920402158,0.5289577718565531,0.020243974098236413,0,23,0.05856458868470017
15,0.3243402090447489,0.5222672074979967,0.01952198941888449,0,24,0.05270812981623016
16,0.33854200004134327,0.515135212335225,0.019195516359152457,0,25,0.04743731683460715
17,0.3512202090350911,0.5074448798407167,0.018894878668738974,0,26,0.042693585151146435
18,0.36513758402725216,0.4991638796167355,0.018582354817324,0,27,0.038424226636031796
19,0.38054345903219655,0.49027196247520277,0.018253190945080867,0,28,0.03458180397242862
20,0.3952235420292709,0.48075502407376486,0.017914278789514994,0,29,0.031123623575185756
21,0.41052708303323016,0.4706123573862172,0.01760709477237398,0,30,0.028011261217667182
22,0.4235562500398373,0.4598856401552753,0.01756326025759901,0,31,0.025210135095900463
23,0.4382212080381578,0.44891465230250566,0.01934088392342115,0,32,0.022689121586310416
