iter,elapsed_time,obj,gradnorm,eval,grad
1,0.38727975002257153,0.9366276410923903,0.036977017224231086,0,3
2,0.4218392919865437,0.5816876381485455,0.050674071082017,0,4
4,0.5496628340042662,0.478701002598273,0.029460829546695672,0,7
8,0.6348696670029312,0.3059313583270558,0.023482637514945254,0,11
16,0.9495777499978431,0.15909219738648708,0.015459464591550611,0,20
32,1.3178788750083186,0.06548387828976435,0.011905190196096508,0,36
64,2.3809704589948524,0.020671885813960178,0.004928538068808108,0,69
128,4.226845124998363,0.005262350195705207,0.0021402776408787107,0,135
256,8.080956624995451,0.0010028679636825348,0.0005008308838479893,0,270
512,15.689979750022758,0.0001049224117037973,0.00022033746001418964,0,534
1024,31.79176287498558,3.280098278628572e-06,2.103602855985167e-05,0,1062
2048,62.61574245800148,1.7510853475334978e-08,2.9296293869871686e-06,0,2131
