iter,elapsed_time,obj,gradnorm,eval,grad,L,M,iter_inner
90,1.8676653740840266,25348656951.35402,218250581.3251101,0,142,236651851.3856466,14098.76183280472,10
91,1.8924127490899991,24027851434.529648,205902796.40399,0,144,236651851.3856466,14098.76183280472,11
92,1.9173769570916193,22725094476.9622,193583754.665486,0,146,236651851.3856466,14098.76183280472,12
93,1.943383499092306,21454351775.700413,181434251.5683503,0,148,236651851.3856466,14098.76183280472,13
94,1.9690475410898216,20227109428.796047,169580658.59061208,0,150,236651851.3856466,14098.76183280472,14
95,1.9933822500897804,19052411611.207504,158134264.39478233,0,152,212986666.24708197,1e-16,0
96,2.0203001670888625,18935412058.289375,157033975.3377476,0,154,212986666.24708197,8501.953210200883,1
97,2.0501355830783723,18762641388.37318,155407260.3433182,0,156,212986666.24708197,9170.660535400664,2
98,2.0799811250763014,18537012626.657455,153279047.97850493,0,158,212986666.24708197,9563.674898974376,3
99,2.1086087080766447,18262146020.33846,150680259.31378064,0,160,212986666.24708197,9754.928383076534,4
100,2.1352007500827312,17942257147.871593,147646985.24463516,0,162,212986666.24708197,9838.103895749722,5
101,2.163811250080471,17582033423.328587,144219585.14442435,0,164,212986666.24708197,9853.995691482982,6
102,2.1897161670785863,17186504516.909794,140441745.69132873,0,166,212986666.24708197,9853.995691482982,7
103,2.2173724170861533,16760912038.042744,136359537.0426198,0,168,212986666.24708197,9853.995691482982,8
104,2.2448012500826735,16310583360.668877,132020499.6648484,0,170,212986666.24708197,9853.995691482982,9
105,2.272322042073938,15840813778.75998,127472789.4738445,0,172,212986666.24708197,9853.995691482982,10
106,2.2996377090748865,15356760340.986162,122764401.98920186,0,174,212986666.24708197,9853.995691482982,11
107,2.3272601670760196,14863349804.747908,117942488.52295937,0,176,212986666.24708197,9853.995691482982,12
108,2.3540554170758696,14365202242.709251,113052769.6008936,0,178,212986666.24708197,9853.995691482982,13
109,2.383218334085541,13866570988.361164,108139043.48296055,0,180,212986666.24708197,9853.995691482982,14
110,2.412547209081822,13371298863.791506,103242781.44204706,0,182,212986666.24708197,9853.995691482982,15
111,2.4398836670734454,12882790018.419321,98402796.99214989,0,184,212986666.24708197,9853.995691482982,16
112,2.4675033340608934,12403996231.506044,93654974.0718563,0,186,212986666.24708197,9853.995691482982,17
113,2.493131167066167,11937416189.581764,89032039.67232424,0,188,191687999.62237376,1e-16,0
114,2.5205952500691637,11896153880.807613,88645712.52551514,0,190,191687999.62237376,5847.6589626896475,1
115,2.547134333057329,11834861940.822603,88072022.41474378,0,192,191687999.62237376,6476.423779049476,2
116,2.573158958068234,11754191189.404894,87317134.16546749,0,194,191687999.62237376,6772.3850219429,3
117,2.5991521250689402,11654962773.918774,86388778.6578757,0,196,191687999.62237376,6932.063351642743,4
118,2.6244685830606613,11538150910.799992,85296096.25555816,0,198,191687999.62237376,7021.752473994862,5
119,2.650744333062903,11404863286.136786,84049461.34308694,0,200,191687999.62237376,7070.649034483422,6
120,2.679142708060681,11256319766.64722,82660294.16242144,0,202,191687999.62237376,7094.118555369441,7
121,2.7061538330599433,11093830088.879787,81140866.15627512,0,204,191687999.62237376,7101.434148329664,8
122,2.733339083060855,10918771181.317724,79504104.76904064,0,206,191687999.62237376,7101.434148329664,9
123,2.762602916060132,10732564734.536966,77763403.15798818,0,208,191687999.62237376,7101.434148329664,10
124,2.792497749062022,10536655573.408983,75932439.5737021,0,210,191687999.62237376,7101.434148329664,11
125,2.818943749065511,10332491307.807213,74025010.33196132,0,212,191687999.62237376,7101.434148329664,12
126,2.8523751650645863,10121503650.200222,72054879.3792629,0,214,191687999.62237376,7101.434148329664,13
127,2.8822776230517775,9905091695.302399,70035646.51914084,0,216,191687999.62237376,7101.434148329664,14
128,2.9106712480570422,9684607363.780283,67980635.490709,0,218,191687999.62237376,7101.434148329664,15
129,2.938114082047832,9461343122.926813,65902802.352563925,0,220,191687999.62237376,7108.123069571371,16
130,2.964102874058881,9236522015.556244,63814664.09807215,0,222,191687999.62237376,7144.431348568072,17
131,2.9910131240612827,9011289956.061817,61728247.16866785,0,224,191687999.62237376,7196.042209815095,18
132,3.0251677910564467,8786710190.825735,59655055.55989214,0,226,191687999.62237376,7265.038048315944,19
133,3.05801454106404,8563759768.916605,57606058.491409175,0,228,191687999.62237376,7353.490443310448,20
134,3.0902042500674725,8343327827.917148,55591698.01657917,0,230,172519199.6601364,1e-16,0
135,3.1272945000673644,8325438032.524239,55444192.401262395,0,232,172519199.6601364,5497.033335539649,1
136,3.1619718750735046,8298763092.634425,55224450.90013555,0,234,172519199.6601364,6124.1614502583925,2
137,3.1939940410811687,8263477496.560627,54934067.39421821,0,236,172519199.6601364,6454.9534425282845,3
138,3.22609025008569,8219803806.787541,54575036.5781579,0,238,172519199.6601364,6673.216228671165,4
139,3.2588275000889553,8168009690.095975,54149717.34540251,0,240,172519199.6601364,6841.055633162277,5
140,3.283811792076449,8108404512.238767,53660791.344072044,0,242,172519199.6601364,6985.887235909447,6
141,3.3189695010805735,8041335589.798844,53111218.26800957,0,244,172519199.6601364,7122.149127069014,7
142,3.347748376079835,7967184196.513614,52504189.579458036,0,246,172519199.6601364,7258.499397322787,8
143,3.3725921260775067,7886361421.912786,51843082.458258376,0,248,172519199.6601364,7400.65658827153,9
144,3.3960360430792207,7799303976.656702,51131415.84213786,0,250,172519199.6601364,7552.655791336078,10
145,3.420879918092396,7706470031.788378,50372810.46641167,0,252,172519199.6601364,7717.447288357044,11
146,3.4454288350825664,7608335168.650535,49570954.829940565,0,254,172519199.6601364,7897.196985229082,12
147,3.470960752078099,7505388502.896959,48729579.00473855,0,256,172519199.6601364,8093.445082892156,13
148,3.4946452940785093,7398129030.585643,47852438.16190005,0,258,172519199.6601364,8307.197847752375,14
149,3.5189112520747585,7287062227.316399,46943307.59395613,0,260,172519199.6601364,8538.99087431408,15
150,3.5426394180685747,7172696913.629516,46005990.85509202,0,262,172519199.6601364,8788.94409452783,16
151,3.5697058350779116,7055542382.089431,45044342.391020015,0,264,172519199.6601364,9056.818684000842,17
152,3.6060905020713108,6936105764.5457535,44062305.65863426,0,266,172519199.6601364,9342.079734021167,18
153,3.632989919060492,6814889602.769155,43063967.20429412,0,268,172519199.6601364,9643.964314996261,19
154,3.6590790020563873,6692389572.889771,42053626.435169324,0,270,172519199.6601364,9961.551586448415,20
155,3.686505461068009,6569092304.609926,41035879.83232724,0,272,155267279.69412276,1e-16,0
156,3.714582461063401,6558257036.183075,40958904.24048799,0,274,155267279.69412276,7350.122584129557,1
157,3.7414088780642487,6542072630.51925,40843955.321724996,0,276,155267279.69412276,8209.17211390136,2
158,3.768135044054361,6520614392.612971,40691533.761509314,0,278,155267279.69412276,8680.665996057494,3
159,3.7946824600512628,6493979124.357892,40502247.01679583,0,280,155267279.69412276,9008.867221427785,4
