iter,elapsed_time,obj,gradnorm,eval,grad,L,M,iter_inner
33,0.3437488380004652,501243714840.664,2474143591.5571475,0,35,4294967.296,38.102457134395756,1
34,0.3542898379964754,501243714840.664,2474143591.5571475,0,36,8589934.592,1e-16,0
35,0.37983638000150677,76421995151.3123,608848449.4913183,0,38,8589934.592,61.57500818820785,1
36,0.4039647550089285,35578086857.5419,305267109.90122736,0,40,8589934.592,61.57500818820785,2
37,0.42844808801601175,18715816141.891495,199855729.3424092,0,42,8589934.592,61.57500818820785,3
38,0.4518081300193444,9705489688.21182,120106674.66299008,0,44,8589934.592,61.57500818820785,4
39,0.4786525880190311,5786322013.72256,89798530.22911899,0,46,8589934.592,61.57500818820785,5
40,0.5025484630168648,4100596354.9572773,82339894.41222158,0,48,8589934.592,61.57500818820785,6
41,0.5267245050054044,3228253768.144804,62596786.02252044,0,50,8589934.592,61.57500818820785,7
42,0.5526247130037518,2653422164.775028,49136912.96144687,0,52,8589934.592,61.57500818820785,8
43,0.5760273800115101,2156146579.149978,39611428.105044454,0,54,8589934.592,61.57500818820785,9
44,0.6013863800180843,1609999858.3304043,32625510.4683735,0,56,8589934.592,61.57500818820785,10
45,0.6277000890258932,1574381896.9548192,48868648.692261085,0,58,7730941.132800001,1e-16,0
46,0.6528162980248453,1287115745.6543026,42156075.15928474,0,60,7730941.132800001,28.39188749368086,1
47,0.6785028390295338,975895427.3275319,34151565.41378487,0,62,7730941.132800001,31.995627072930308,2
48,0.706246131027001,701809074.4853339,25999762.54142159,0,64,7730941.132800001,33.683596766769895,3
49,0.7313109640381299,495622353.14271694,18605400.144179508,0,66,7730941.132800001,34.15371831711742,4
50,0.7575752560369438,361399495.93337345,12805447.448323436,0,68,7730941.132800001,34.15371831711742,5
51,0.7842242140322924,285621578.6692837,9497236.248546373,0,70,7730941.132800001,34.15371831711742,6
52,0.8094467140326742,247305684.92590564,8873479.031130277,0,72,7730941.132800001,34.15371831711742,7
53,0.8355745470471447,226414329.16145566,9061919.819174163,0,74,7730941.132800001,34.15371831711742,8
54,0.8607591720501659,208917339.91822785,7728101.761744885,0,76,7730941.132800001,34.15371831711742,9
55,0.887172631060821,188131411.76736093,6949979.754829824,0,78,7730941.132800001,34.15371831711742,10
56,0.9121883390616858,163254239.1202697,6454783.002016664,0,80,7730941.132800001,34.15371831711742,11
57,0.9354635890631471,136683164.59126332,6052448.861404301,0,82,7730941.132800001,34.15371831711742,12
58,0.9610479230614146,111539127.42114,5651951.389751807,0,84,7730941.132800001,34.15371831711742,13
59,0.9846917980612488,90142097.8385946,5229052.471840448,0,86,7730941.132800001,34.15371831711742,14
60,1.011719423069735,73501291.42947203,4700445.373263034,0,88,7730941.132800001,34.15371831711742,15
61,1.0363515900680795,61491209.22208107,4169175.098581462,0,90,7730941.132800001,34.15371831711742,16
62,1.0617072980676312,53308987.56878039,3932926.261129726,0,92,7730941.132800001,34.15371831711742,17
63,1.08974392307573,47921105.69384238,3566393.783137623,0,94,7730941.132800001,34.15371831711742,18
64,1.1165133400791092,44365487.49136664,3226199.925426991,0,96,7730941.132800001,34.15371831711742,19
65,1.1409816730738385,41893964.38805911,2926513.1002085255,0,98,7730941.132800001,34.15371831711742,20
66,1.1665910070732934,39998063.06896338,2665298.7629168625,0,100,7730941.132800001,34.15371831711742,21
67,1.191888882080093,38372249.225354746,2438662.612541493,0,102,7730941.132800001,34.15371831711742,22
68,1.2157747570745414,36856445.21511592,2241991.304596119,0,104,7730941.132800001,34.15371831711742,23
69,1.2390962150820997,35381808.836098656,2070706.4131432695,0,106,7730941.132800001,34.15371831711742,24
70,1.2639670900825877,33929451.3620152,1920679.7248967893,0,108,7730941.132800001,34.15371831711742,25
71,1.2886331320914906,32503269.485917237,1788399.936852032,0,110,7730941.132800001,34.15371831711742,26
72,1.3145404240931384,31114306.092621624,1670982.6249687276,0,112,7730941.132800001,34.15371831711742,27
73,1.341428299085237,28595318.85165368,1566098.0020655803,0,114,7730941.132800001,34.15371831711742,28
74,1.3703887570882216,25960851.63705505,1471868.5337421799,0,116,7730941.132800001,34.15371831711742,29
75,1.396768173086457,23630018.78263594,1386768.038395409,0,118,7730941.132800001,34.15371831711742,30
76,1.4241088400885928,21561439.962059215,1309537.9603460322,0,120,7730941.132800001,34.15371831711742,31
77,1.450706798088504,19719980.105107434,1239125.4102369493,0,122,7730941.132800001,34.15371831711742,32
78,1.476244423087337,18075791.066291373,1174640.8789366882,0,124,7730941.132800001,34.15371831711742,33
79,1.4995297980931355,22964151.625388958,2240221.9906211323,0,126,6957847.019520001,1e-16,0
80,1.523396882097586,22256438.706540506,2157717.9135210086,0,128,6957847.019520001,23.888376064921378,1
81,1.5475232160970336,21278715.353956442,2049492.470077415,0,130,6957847.019520001,26.94549483316844,2
