iter,elapsed_time,obj,gradnorm,eval,grad
1,1.0815918750013225,68656396.79238388,336715.3132056722,0,4
2,1.2140356250019977,30270813.51244693,147695.3923093573,0,5
4,1.2846314589987742,7755337.417894469,48031.806447593066,0,8
8,1.4364425829990068,783463.5393397431,12345.153266712972,0,14
16,2.107032750005601,132991.50839601955,2589.442110636364,0,24
32,3.038553624995984,6086.7455099033305,426.6527873326428,0,42
64,5.230857624992495,51.48208346624162,33.88277243756705,0,76
128,9.311377416990581,1.9909791359094833,1.800730071871642,0,141
256,17.67409708299965,0.04595318534620131,0.1501532299666639,0,277
512,34.8231972920039,0.0011753907206244777,0.0267952470509212,0,554
1024,68.20093558299413,3.24852884587343e-05,0.0011651536625334853,0,1097
