iter,elapsed_time,obj,gradnorm,eval,grad,L,H,iter_inner
27,0.5643113319238182,18873156.73472019,88496.33542620398,0,30,33554.432,10.51307827562188,2
28,0.5999583729280857,18171168.93432869,85781.05309091481,0,32,33554.432,10.51307827562188,3
29,0.6376217479264596,17280258.222101953,82656.95642591847,0,34,33554.432,10.51307827562188,4
30,0.6777747889282182,16228621.521459509,79103.68257372064,0,36,33554.432,10.51307827562188,5
31,0.7127649969188496,15047130.333314577,75134.53369260477,0,38,33554.432,10.51307827562188,6
32,0.7486456639308017,13768937.22247257,70799.91585945277,0,40,33554.432,10.51307827562188,7
33,0.7861570809327532,12428577.816504857,66159.04156276971,0,42,33554.432,10.51307827562188,8
34,0.8247138309234288,11061000.154561227,61283.49136359165,0,44,33554.432,10.51307827562188,9
35,0.8623585809255019,9700546.33377442,56312.28046828827,0,46,33554.432,10.51307827562188,10
36,0.9010692479205318,8379474.546974585,51507.75145023386,0,48,33554.432,10.51307827562188,11
37,0.9394246649171691,7125863.22681545,47104.83776341979,0,50,33554.432,10.51307827562188,12
38,0.9754168319195742,5962277.531774428,42901.823960653426,0,52,33554.432,10.51307827562188,13
39,1.01048112391436,4907340.584021604,38296.29964376216,0,54,33554.432,10.51307827562188,14
40,1.0487989159155404,3978873.6767290425,33031.25596145941,0,56,33554.432,10.51307827562188,15
41,1.0859802069171565,3194405.613006786,27467.217737581177,0,58,33554.432,10.51307827562188,16
42,1.1227202909212792,2568913.295645325,22213.966080856615,0,60,33554.432,10.51307827562188,17
43,1.159189498925116,2112850.2631556243,18010.725364560287,0,62,33554.432,10.51307827562188,18
44,1.194671248915256,1831547.827041494,15769.18534093397,0,64,33554.432,10.51307827562188,19
45,1.2292222069081618,1725532.79051984,16119.338739538354,0,66,33554.432,10.51307827562188,20
46,1.268075956904795,1791222.550822868,18715.138162214822,0,68,33554.432,10.51307827562188,21
47,1.3054853729117895,2021554.5521780155,22688.108319768668,0,70,33554.432,10.51307827562188,22
48,1.3423385809146566,2406324.149310463,27424.396908019786,0,72,33554.432,10.51307827562188,23
49,1.3783374559134245,2932115.8087682915,32668.34349889523,0,74,33554.432,10.51307827562188,24
50,1.4146574979095021,3581665.986880088,36378.886737526875,0,76,33554.432,10.51307827562188,25
51,1.4524405399133684,4333005.780688832,33779.39641717889,0,78,33554.432,10.51307827562188,26
52,1.4882629149215063,4166379.0741361273,31242.947818953726,0,80,33554.432,10.51307827562188,27
53,1.5239220819203183,3746629.4792422564,28780.927219054665,0,82,33554.432,10.51307827562188,28
54,1.5615025409206282,3364415.720927312,26405.73509687722,0,84,33554.432,10.51307827562188,29
55,1.60026520791871,3019304.5800422966,24131.147441345547,0,86,33554.432,10.51307827562188,30
56,1.638086165927234,2710490.46007669,21972.75652721499,0,88,33554.432,10.51307827562188,31
57,1.6747817079303786,2436825.6559619927,19948.478595391483,0,90,33554.432,10.51307827562188,32
58,1.7087824169284431,2196853.851441411,18079.062498825486,0,92,33554.432,10.51307827562188,33
59,1.7466034169337945,1988846.4025838831,16388.41537460914,0,94,33554.432,10.51307827562188,34
60,1.7700165419228142,1725532.79051984,16119.338739538354,0,95,3355.4432,0,0
61,1.8059118759265402,1650623.727989415,15134.351980453424,0,97,3355.4432,5.844834160789127,1
62,1.8416737089137314,1517771.151154761,13583.918308776407,0,99,3355.4432,5.844834160789127,2
63,1.8754582509136526,1351293.2011167842,11727.016610498722,0,101,3355.4432,5.844834160789127,3
64,1.9107375839084852,1176168.7701452288,9834.482105029989,0,103,3355.4432,5.844834160789127,4
65,1.9463980419095606,1013315.3495187534,8224.149666484633,0,105,3355.4432,5.844834160789127,5
66,1.9866714999079704,876652.5034240488,7334.879749074206,0,107,3355.4432,5.844834160789127,6
67,2.0222739169112174,771188.6999660108,7301.415407806846,0,109,3355.4432,5.844834160789127,7
68,2.06065720890183,694211.5534754077,7581.858847693003,0,111,3355.4432,5.844834160789127,8
69,2.0978095008904347,639832.4882730084,8170.251644296648,0,113,3355.4432,5.844834160789127,9
70,2.133134792893543,599165.8432615213,7445.618879249278,0,115,3355.4432,5.844834160789127,10
71,2.1701079598860815,562155.9748900962,6836.2230428005705,0,117,3355.4432,5.844834160789127,11
72,2.206788793890155,521353.02091672213,6332.816239522867,0,119,3355.4432,5.844834160789127,12
73,2.2454608769039623,473653.91944397823,5915.28154891999,0,121,3355.4432,5.844834160789127,13
74,2.2841047109104693,420219.46022383583,5557.030098311051,0,123,3355.4432,5.844834160789127,14
75,2.3059687519125873,365898.9172914963,8247.79626751304,0,124,335.54432,0,0
76,2.343785793913412,233009.41263131218,4524.547757333839,0,126,335.54432,2.1216927486286843,1
77,2.3803170439059613,210055.68671575864,3168.6566570215364,0,128,335.54432,5.81796557188881,2
78,2.418317793912138,189244.16797193847,2027.2759243259336,0,130,335.54432,5.81796557188881,3
79,2.4380822529055877,189244.16797193847,2027.2759243259336,0,131,671.08864,0,0
80,2.475816502905218,183241.71565901255,1948.7048371776948,0,133,671.08864,0.05147607245776525,1
81,2.5123136278998572,172145.40461458714,1809.1183038769711,0,135,671.08864,0.06861475129261452,2
82,2.5498949198954506,157484.2344755172,1632.498711811077,0,137,671.08864,0.06861475129261452,3
83,2.5862698358978378,141041.7262698452,1437.878659168304,0,139,671.08864,0.06861475129261452,4
84,2.6249769608984934,124600.84414346475,1239.3673504002118,0,141,671.08864,0.06861475129261452,5
85,2.6636900858866284,109806.1488327278,1063.7033242051696,0,143,671.08864,0.06861475129261452,6
86,2.7035241268895334,98011.61145530848,972.4992939685196,0,145,671.08864,0.06861475129261452,7
87,2.7395910858904244,90024.66237949509,1033.4555440806805,0,147,671.08864,0.15327766539490825,8
88,2.779353752892348,85831.39098180707,1203.3103030399404,0,149,671.08864,0.24913438390208537,9
89,2.8160096688952763,84512.89263327036,1100.824417007887,0,151,671.08864,0.32064901690791525,10
90,2.8535788768931525,84495.78507123931,1009.9352509620714,0,153,671.08864,0.3406415797711033,11
91,2.8909184188960353,84064.83036957712,932.5178849868767,0,155,671.08864,0.3406415797711033,12
92,2.927093459889875,81895.90644291125,868.6141584141966,0,157,671.08864,0.3406415797711033,13
93,2.9683253348921426,77355.03271506127,816.8096089276856,0,159,671.08864,0.3406415797711033,14
94,3.0068532098957803,70483.29195601559,774.7665588752161,0,161,671.08864,0.3406415797711033,15
95,3.047661709904787,61810.49438582717,739.6655814307207,0,163,671.08864,0.3406415797711033,16
96,3.0864238349022344,52165.727202813156,708.6448008226606,0,165,671.08864,0.3406415797711033,17
97,3.1251293348905165,42512.54112729951,679.3724579858163,0,167,671.08864,0.34225561061546617,18
98,3.1616057928913506,33758.48033900235,650.6133623674643,0,169,671.08864,0.34225561061546617,19
99,3.200253833900206,26562.8573625426,622.4594304811632,0,171,671.08864,0.34225561061546617,20
100,3.239911833894439,21250.66226825968,596.03818052918,0,173,671.08864,0.34225561061546617,21
101,3.278467375886976,17881.73217808638,572.8513059632754,0,175,671.08864,0.34225561061546617,22
102,3.3158341678936267,16394.749850137174,554.1289629708541,0,177,671.08864,0.34225561061546617,23
103,3.35331879289879,16689.337908862686,540.5124735862594,0,179,671.08864,0.34225561061546617,24
104,3.3919338339037495,18573.39092927351,532.063195658562,0,181,671.08864,0.34225561061546617,25
105,3.4275014169106726,21654.75797526181,528.3643958956023,0,183,671.08864,0.34225561061546617,26
106,3.450621166906785,16394.749850137174,893.5499218463849,0,184,67.10886400000001,0,0
107,3.4706179169006646,11078.221949523737,984.99613046225,0,185,134.21772800000002,0,0
108,3.490181082903291,8292.07901548406,588.0345002198208,0,186,268.43545600000004,0,0
109,3.5270453328994336,7306.849988978418,369.4309515201686,0,188,268.43545600000004,0.04934891948135416,1
110,3.565371248900192,6624.85981162895,354.17900373088554,0,190,268.43545600000004,0.08212408086019769,2
111,3.6006099158985307,5968.51244431146,322.3306576569953,0,192,268.43545600000004,0.11439523926685974,3
112,3.6362219159054803,4682.333772929527,304.2940321778752,0,194,268.43545600000004,0.11439523926685974,4
113,3.6729551659082063,3878.1474983197004,179.29072359535442,0,196,268.43545600000004,0.11439523926685974,5
114,3.708672915920033,4110.808090028215,212.32639009358692,0,198,268.43545600000004,0.11439523926685974,6
115,3.7445325409207726,4169.519408121658,188.60950586535782,0,200,268.43545600000004,0.11439523926685974,7
116,3.7821492909133667,3929.52521429061,165.03409261219127,0,202,268.43545600000004,0.11439523926685974,8
117,3.8197514579078415,3788.765399447423,136.04594175698975,0,204,268.43545600000004,0.11439523926685974,9
118,3.8561689579073573,3521.3616120034603,125.26298827180344,0,206,268.43545600000004,0.11439523926685974,10
119,3.894993915906525,3298.6221344419573,127.16544446274439,0,208,268.43545600000004,0.11439523926685974,11
120,3.9314024579070974,3092.556562259456,121.14346594749323,0,210,268.43545600000004,0.11439523926685974,12
121,3.9705977909179637,2895.622502835838,114.37299357401218,0,212,268.43545600000004,0.11439523926685974,13
122,4.009870165915345,2289.980917904859,114.66735688014381,0,214,268.43545600000004,0.11439523926685974,14
123,4.0515854999102885,1388.4214628026416,109.88792534665278,0,216,268.43545600000004,0.11439523926685974,15
124,4.093812082908698,1485.7364237945471,96.9176743509052,0,218,268.43545600000004,0.11439523926685974,16
125,4.139531082910253,2028.2937687163212,87.55321675038644,0,220,268.43545600000004,0.11439523926685974,17
126,4.185408290912164,1958.2865251255125,81.73482882002138,0,222,268.43545600000004,0.11439523926685974,18
127,4.225275290911668,1802.6333072531565,69.8440755508587,0,224,268.43545600000004,0.11439523926685974,19
128,4.2658937499218155,1667.9099895382833,58.10824278255723,0,226,268.43545600000004,0.11439523926685974,20
129,4.3076659169310005,1556.8101483916246,57.533205117052084,0,228,268.43545600000004,0.11439523926685974,21
130,4.346233166928869,1464.0043056270497,59.456084938558504,0,230,268.43545600000004,0.11439523926685974,22
131,4.386619041921222,1384.2138791750385,59.790991853390906,0,232,268.43545600000004,0.11439523926685974,23
132,4.42277124991233,1314.8750049509863,65.32153118766584,0,234,268.43545600000004,0.11439523926685974,24
133,4.460449499922106,1250.606169911556,71.45974865821945,0,236,268.43545600000004,0.11439523926685974,25
134,4.4970018749299925,1185.8047779387703,70.69903248841713,0,238,268.43545600000004,0.11439523926685974,26
135,4.535437749917037,1120.4710007896085,66.93365250715225,0,240,268.43545600000004,0.11439523926685974,27
136,4.580466833911487,1056.612931762136,65.65510757328124,0,242,268.43545600000004,0.11439523926685974,28
137,4.620206541905645,994.2289760926027,63.46443148429988,0,244,268.43545600000004,0.11439523926685974,29
138,4.645747374903294,994.2289760926027,63.46443148429988,0,245,26.843545600000006,0,0
139,4.666393499908736,937.1982738749712,136.9424095888442,0,246,53.68709120000001,0,0
140,4.684970291913487,937.1982738749712,136.9424095888442,0,247,107.37418240000002,0,0
141,4.704748750911676,916.097769907858,122.02291994874389,0,248,214.74836480000005,0,0
142,4.741926709903055,876.8006072515279,35.109487585549566,0,250,214.74836480000005,0.00038309951742593665,1
143,4.776943542907247,874.9012995370636,34.6555558848945,0,252,214.74836480000005,0.00038309951742593665,2
144,4.813829084916506,870.2903833335453,43.553036841796796,0,254,214.74836480000005,0.0015674184050007349,3
145,4.850530792915379,830.2689908219372,37.90076635173654,0,256,214.74836480000005,0.0028985613877613773,4
146,4.888101750912028,830.3612887050722,33.37825689366744,0,258,214.74836480000005,0.0035122146183023555,5
147,4.925622084920178,817.2862507914853,35.5505712541767,0,260,214.74836480000005,0.004199954935885432,6
148,4.9617042509198654,749.0088407472427,36.11877923888173,0,262,214.74836480000005,0.004199954935885432,7
149,5.004640792918508,733.8849705442547,31.84530212788652,0,264,214.74836480000005,0.004199954935885432,8
150,5.046194125927286,719.6968929834948,32.25477875862929,0,266,214.74836480000005,0.0059811892789310515,9
151,5.086108791932929,645.3552408028924,32.84447305271366,0,268,214.74836480000005,0.00861029922557782,10
152,5.12752858393651,618.2811771203164,30.184859034407143,0,270,214.74836480000005,0.009746055098725162,11
153,5.165867500938475,606.5314786834299,29.864847697852408,0,272,214.74836480000005,0.009746055098725162,12
154,5.205977958947187,532.6164535280237,30.24731991454498,0,274,214.74836480000005,0.009746055098725162,13
155,5.243515874943114,498.5309744603294,28.279304721046156,0,276,214.74836480000005,0.009746055098725162,14
156,5.278374833942507,493.5818869554169,27.531391176997595,0,278,214.74836480000005,0.009746055098725162,15
157,5.321288291946985,426.52952699492374,27.689721975679856,0,280,214.74836480000005,0.010413472084116597,16
158,5.3623467079451075,389.30284487825116,26.12757813934715,0,282,214.74836480000005,0.010925709510162357,17
159,5.3981817909370875,392.72057771578864,25.22358235538957,0,284,214.74836480000005,0.010925709510162357,18
