iter,elapsed_time,obj,gradnorm,eval,grad,L
0,0,76243836.44381285,388597.93804347026,0,1,0.001
1,0.3883140419929987,35681527.4716864,150767.04939972528,0,23,1887.4368000000002
2,0.40701312499004416,25317301.29056476,111899.67204800196,0,24,1698.6931200000001
3,0.4238009999971837,18738095.479256555,89038.30222892253,0,25,1528.823808
4,0.44122287500067614,14042695.01223957,72759.05500212163,0,26,1375.9414272000001
5,0.45725008301087655,10541226.030950403,59970.24304941294,0,27,1238.34728448
6,0.47336750001704786,7897356.990116677,49400.91776361123,0,28,1114.512556032
7,0.49036350002279505,5908488.684680885,40469.99274480283,0,29,1003.0613004288
8,0.5073427080205875,4430694.148954152,32895.114400208244,0,30,902.75517038592
9,0.5240641670243349,3349965.461463661,26527.599601929312,0,31,812.479653347328
10,0.5431459580286173,2571398.3180439286,21271.399757700467,0,32,731.2316880125952
11,0.5613726670271717,2015810.638410942,17038.490501246823,0,33,658.1085192113358
12,0.5794010840327246,1619047.5993437106,13723.565855589122,0,34,592.2976672902022
13,0.5964428340375889,1331596.5473327513,11193.459533852025,0,35,533.067900561182
14,0.6131139590288512,1117446.082762622,9292.11764181648,0,36,479.7611105050638
15,0.6302885840268573,951998.5601902164,7859.878244499033,0,37,431.78499945455746
16,0.6475658750277944,819392.0440940454,6757.412235509763,0,38,388.60649950910175
17,0.6653005410335027,709797.371637516,5880.633151421699,0,39,349.7458495581916
18,0.6818069580331212,617167.9089595026,5160.822522821691,0,40,314.77126460237247
19,0.698389916025917,537661.8553784698,4555.244986596767,0,41,283.29413814213524
20,0.7146900410152739,468695.9067053069,4036.6073643454724,0,42,254.96472432792172
21,0.7322269580181455,408443.33533006656,3585.906820328838,0,43,229.46825189512955
22,0.749420750013087,355577.97279714013,3188.9033642913346,0,44,206.5214267056166
23,0.7659996670117835,309128.8283972087,2834.725403571592,0,45,185.86928403505493
24,0.7834474590054015,268378.1736793984,2515.3469487809566,0,46,167.28235563154945
25,0.8012336260144366,232777.27329117493,2225.31067899962,0,47,150.5541200683945
26,0.8179465010180138,201873.0141888652,1961.4176635843207,0,48,135.49870806155505
27,0.8338751260162098,175247.48810754073,1722.2709440634883,0,49,121.94883725539955
28,0.8505917090224102,152475.613517665,1507.6718616103235,0,50,109.7539535298596
29,0.8672676250134828,133104.7707161559,1317.9055858158542,0,51,98.77855817687364
30,0.8836731250048615,116657.134233249,1153.0062725171456,0,52,88.90070235918628
31,0.9014484170038486,102650.26826148912,1012.1815710587733,0,53,80.01063212326765
32,0.9191952090041013,90626.46390570769,893.5665243662206,0,54,72.00956891094089
33,0.9362585420021787,80180.0069755412,794.3498194726274,0,55,64.8086120198468
34,0.9536400420038262,70974.92722034223,711.1628398278385,0,56,58.327750817862125
35,0.970382083003642,62751.1075355186,640.555038409743,0,57,52.494975736075915
36,0.9870998330006842,55320.46853424063,579.4074240558379,0,58,47.24547816246832
37,1.0043507910013432,48556.42129498891,525.1920753729377,0,59,42.52093034622149
38,1.0210252910037525,42380.05933188458,476.08794464704204,0,60,38.26883731159934
39,1.038670166002703,36747.63808696104,431.82196152230983,0,61,34.44195358043941
40,1.0556707910000114,31688.325409472713,420.58823460249295,0,62,30.99775822239547
41,1.0909665830113227,29615.887263935994,537.0389665870766,0,64,55.79596480031184
42,1.140820041007828,28655.408279112366,364.0770607497386,0,67,200.86547328112263
43,1.1583983330056071,28002.19185055817,357.59387441088745,0,68,180.77892595301037
44,1.1745313749997877,27300.913275504965,351.47353721787204,0,69,162.70103335770935
45,1.1921502920013154,26548.80331309833,344.86152496856425,0,70,146.43093002193842
46,1.2090222510014428,25745.0288023646,337.73307100568985,0,71,131.7878370197446
47,1.2259017100004712,24889.365698388916,330.06741230194507,0,72,118.60905331777013
48,1.2424308769986965,23982.314832846678,321.8476926378821,0,73,106.74814798599313
49,1.2581343769998057,23025.21913936436,313.06205735302,0,74,96.07333318739381
50,1.2756165429891553,22020.374520962665,303.70475545212037,0,75,86.46599986865444
51,1.2923866679775529,20971.12727515929,293.7772313655621,0,76,77.819399881789
52,1.3094919599825516,19881.949667861383,283.2892204488293,0,77,70.0374598936101
53,1.3260905439819908,18758.48403249958,272.2598419431352,0,78,63.0337139042491
54,1.3447452939726645,17607.54503546074,260.7186506138395,0,79,56.73034251382419
55,1.362909334973665,16437.070090814923,248.70666636981645,0,80,51.05730826244177
56,1.3811341259715846,15256.01037256914,236.27841009111413,0,81,45.951577436197596
57,1.398248209967278,14074.17549478916,223.5226758595338,0,82,41.35641969257784
58,1.4141380429791752,12902.369625803694,210.94465312165727,0,83,37.220777723320055
59,1.432533376981155,11760.683526078712,208.41360690888493,0,84,33.49869995098805
60,1.448746959969867,10921.482893132958,391.7615746192415,0,85,30.148829955889244
61,1.5167693769617472,10495.821396867252,189.68651441646028,0,89,217.07157568240257
62,1.5330339189531514,10336.94069476366,180.34263117420835,0,90,195.3644181141623
