iter,elapsed_time,obj,gradnorm,eval,grad
1,0.7044591660087463,0.40314599546338575,0.02047785963699112,0,3
2,0.7658586250036024,0.24391343647526215,0.030629747142004546,0,4
4,0.8309889580123127,0.2079367395502522,0.02106441618067526,0,7
8,1.0715570420143194,0.10982866485661993,0.01437670235261659,0,11
16,1.5746845420217142,0.03793305212809145,0.016213980201433543,0,19
32,2.3190511249995325,0.007075900414833381,0.003500782893651721,0,35
64,4.064335792005295,0.000392148168707232,0.0009234142720824801,0,69
128,7.64008704200387,2.1762977692729687e-06,4.423526776921954e-05,0,136
256,14.829231916985009,2.650965816062346e-10,8.084462600898392e-07,0,273
394,23.146946332999505,1.8394623746366314e-14,4.6501393531654895e-09,0,418
